utterances,serialized_schema,table_used
['Find out the average salary of professors?'],"  classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id",instructor
"['Find out the average salary of professors?', 'Find the average salary of the professors of each department?']","  classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id",instructor
"['Find out the average salary of professors?', 'Find the average salary of the professors of each department?', 'Which department has the highest average salary of professors?']","  classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id",instructor
['What is the station ID for London Waterloo'],"  station : station_id , name  , annual_entry_exit , annual_interchanges , total_passengers , location  , main_services , number_of_platforms | train : train_id , name , time , service | train_station : train_id , station_id",station
"['What is the station ID for London Waterloo', 'What trains go to station ID 1?']","  station : station_id , name  , annual_entry_exit , annual_interchanges , total_passengers , location  , main_services , number_of_platforms | train : train_id , name , time , service | train_station : train_id , station_id",train_station
"['What is the station ID for London Waterloo', 'What trains go to station ID 1?', 'Can you give me the names of those trains and tell me when they have service']","  station : station_id , name  , annual_entry_exit , annual_interchanges , total_passengers , location  , main_services , number_of_platforms | train : train_id , name , time , service | train_station : train_id , station_id",train_station
['When did the violin players perform?'],"  member : member_id , name , nationality , role  | performance : performance_id , date , host , location , attendance | member_attendance : member_id , performance_id , num_of_pieces",member_attendance
"['When did the violin players perform?', 'Which violin player attended the most?', 'Do you mean the name of the violin player that attended the most number of performances?', 'Yes, what is the name of the violin player who attended the most number of performances?']","  member : member_id , name , nationality , role  | performance : performance_id , date , host , location , attendance | member_attendance : member_id , performance_id , num_of_pieces",member
"['When did the violin players perform?', 'Which violin player attended the most?', 'Do you mean the name of the violin player that attended the most number of performances?', 'Yes, what is the name of the violin player who attended the most number of performances?', 'What about the violin player who attended the least performances?']","  member : member_id , name , nationality , role  | performance : performance_id , date , host , location , attendance | member_attendance : member_id , performance_id , num_of_pieces",member
['what is the films title that direct by Bill Schreiner?'],"  film : film_id , rank_in_series , number_in_season , title , directed_by  , original_air_date , production_code | cinema : cinema_id , name , openning_year , capacity , location | schedule : cinema_id , film_id , date , show_times_per_day , price",film
"['what is the films title that direct by Bill Schreiner?', 'show director with the largest number of show times in total']","  film : film_id , rank_in_series , number_in_season , title , directed_by  , original_air_date , production_code | cinema : cinema_id , name , openning_year , capacity , location | schedule : cinema_id , film_id , date , show_times_per_day , price",schedule
"['what is the films title that direct by Bill Schreiner?', 'show director with the largest number of show times in total', 'show me a list of original air date?']","  film : film_id , rank_in_series , number_in_season , title , directed_by  , original_air_date , production_code | cinema : cinema_id , name , openning_year , capacity , location | schedule : cinema_id , film_id , date , show_times_per_day , price",film
['Show me the captain ranks'],"  captain : captain_id , name , ship_id , age , class , rank | ship : ship_id , name , type , built_year , class , flag",captain
"['Show me the captain ranks', 'Show me the captain rank that has no captain in Third-rate ship of the line class']","  captain : captain_id , name , ship_id , age , class  , rank | ship : ship_id , name , type , built_year , class , flag",captain
"['Who are the technicians from team ""CLE"" and ""CWS""?']","  repair : repair_id , name , launch_date , notes | machine : machine_id , making_year , class , team , machine_series , value_points , quality_rank | technician : technician_id , name , team  , starting_year , age | repair_assignment : technician_id , repair_id , machine_id",technician
"['Who are the technicians from team ""CLE"" and ""CWS""?', 'Please show me the starting years for them']","  repair : repair_id , name , launch_date , notes | machine : machine_id , making_year , class , team , machine_series , value_points , quality_rank | technician : technician_id , name , team  , starting_year , age | repair_assignment : technician_id , repair_id , machine_id",technician
